subject_id,split
P012,test
P021,test
P044,test
P050,test
P039,test
P014,test
P001,test
P065,test
P041,test
P045,test
P056,test
P043,val
P063,val
P003,val
P032,val
P004,val
P057,val
P053,val
P049,val
P037,val
P060,val
P013,val
P035,train
P026,train
P073,train
P031,train
P009,train
P058,train
P018,train
P042,train
P071,train
P052,train
P027,train
P067,train
P066,train
P016,train
P061,train
P007,train
P023,train
P072,train
P005,train
P046,train
P017,train
P011,train
P040,train
P008,train
P048,train
P006,train
P051,train
P038,train
P062,train
P047,train
P068,train
P020,train
