subject_id,split
P035,test
P026,test
P073,test
P031,test
P009,test
P058,test
P018,test
P042,test
P071,test
P052,test
P027,val
P067,val
P066,val
P016,val
P061,val
P007,val
P023,val
P072,val
P005,val
P046,val
P017,val
P011,train
P040,train
P008,train
P048,train
P006,train
P051,train
P038,train
P062,train
P047,train
P068,train
P020,train
P012,train
P021,train
P044,train
P050,train
P039,train
P014,train
P001,train
P065,train
P041,train
P045,train
P056,train
P043,train
P063,train
P003,train
P032,train
P004,train
P057,train
P053,train
P049,train
P037,train
P060,train
P013,train
