subject_id,split
P011,test
P040,test
P008,test
P048,test
P006,test
P051,test
P038,test
P062,test
P047,test
P068,test
P020,test
P012,val
P021,val
P044,val
P050,val
P039,val
P014,val
P001,val
P065,val
P041,val
P045,val
P056,val
P043,train
P063,train
P003,train
P032,train
P004,train
P057,train
P053,train
P049,train
P037,train
P060,train
P013,train
P035,train
P026,train
P073,train
P031,train
P009,train
P058,train
P018,train
P042,train
P071,train
P052,train
P027,train
P067,train
P066,train
P016,train
P061,train
P007,train
P023,train
P072,train
P005,train
P046,train
P017,train
